contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,download_time
AAL250815C00001000,2025-08-14 14:07:14+00:00,1.0,12.13,10.95,13.05,-0.26000023,-2.0984683,24.0,111,34.87500455078125,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00002000,2025-08-14 14:48:17+00:00,2.0,11.09,9.9,12.05,-0.26000023,-2.2907507,39.0,83,23.50000265625,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00003000,2025-08-14 14:48:17+00:00,3.0,10.11,9.0,11.05,-0.27000046,-2.6011605,30.0,76,19.593753876953127,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00004000,2025-08-14 13:59:31+00:00,4.0,9.02,8.5,10.05,-0.37999916,-4.0425444,20.0,188,19.937503769531254,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00005000,2025-08-14 15:23:03+00:00,5.0,8.65,6.85,9.05,0.37999916,4.594911,29.0,199,11.75000265625,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00006000,2025-08-13 15:21:17+00:00,6.0,7.3,6.45,8.05,0.0,0.0,15.0,55,13.5000015625,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00007000,2025-08-13 15:05:24+00:00,7.0,6.22,4.95,7.05,-0.13000011,-2.047246,10.0,77,8.687504570312498,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00007500,2025-08-14 14:05:06+00:00,7.5,5.58,4.5,6.55,-0.13999987,-2.4475503,2.0,18,8.140629912109375,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00008000,2025-08-14 14:05:06+00:00,8.0,5.1,3.95,6.2,0.11000013,2.2044115,2.0,195,7.8437501953124995,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00008500,2025-08-13 14:40:46+00:00,8.5,4.59,3.8,5.55,0.0,0.0,2.0,15,7.87500015625,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00009000,2025-08-14 14:23:40+00:00,9.0,3.78,3.7,5.05,-0.1500001,-3.8167963,1.0,404,8.39844225097656,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00009500,2025-08-08 16:23:49+00:00,9.5,2.19,3.3,3.35,0.0,0.0,11.0,8,2.50000375,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00010000,2025-08-14 19:51:56+00:00,10.0,2.8,2.79,2.84,-0.29999995,-9.677419,2.0,1844,2.593753515625,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00010500,2025-08-14 19:32:11+00:00,10.5,2.26,2.29,2.33,-0.26999998,-10.671936,1.0,322,1.9375003125,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00011000,2025-08-14 19:48:16+00:00,11.0,1.83,1.8,1.83,-0.32000005,-14.883722,372.0,3104,1.5000025,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00011500,2025-08-14 19:52:14+00:00,11.5,1.29,1.3,1.34,-0.4000001,-23.668642,122.0,9518,0.500005,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00012000,2025-08-14 19:58:02+00:00,12.0,0.8,0.8,0.85,-0.32,-28.571428,1739.0,25754,0.6875031250000001,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00012500,2025-08-14 19:59:25+00:00,12.5,0.33,0.33,0.36,-0.29999998,-47.619045,1176.0,7084,0.5625043750000001,True,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00013000,2025-08-14 19:57:55+00:00,13.0,0.04,0.05,0.06,-0.21000001,-84.0,2396.0,17582,0.48438015625,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00013500,2025-08-14 19:45:01+00:00,13.5,0.01,0.0,0.01,-0.060000002,-85.71429,1077.0,4464,0.5312546875,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00014000,2025-08-14 16:46:45+00:00,14.0,0.01,0.0,0.01,-0.01,-50.0,96.0,24829,0.8437515624999999,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00014500,2025-08-14 19:41:20+00:00,14.5,0.01,0.0,0.01,0.0,0.0,3.0,836,1.125004375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00015000,2025-08-14 15:24:29+00:00,15.0,0.01,0.0,0.01,0.0,0.0,38.0,10744,1.3750031249999999,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00015500,2025-08-13 15:20:01+00:00,15.5,0.01,0.0,0.02,0.0,0.0,2.0,121,1.75000125,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00016000,2025-08-12 19:49:27+00:00,16.0,0.01,0.0,0.01,0.0,0.0,2.0,8937,1.875000625,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00016500,2025-08-11 14:07:16+00:00,16.5,0.24,0.0,0.01,0.0,0.0,1.0,64,2.000005,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00017000,2025-08-12 19:30:42+00:00,17.0,0.02,0.0,0.01,0.0,0.0,2.0,2171,2.2500043749999996,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00017500,2025-07-21 15:26:56+00:00,17.5,0.03,0.0,0.01,0.0,0.0,,1,2.50000375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00018000,2025-08-13 15:42:11+00:00,18.0,0.01,0.0,0.01,0.0,0.0,1.0,1990,2.6250034375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00019000,2025-08-12 16:04:27+00:00,19.0,0.01,0.0,0.01,0.0,0.0,12.0,895,3.0000025,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00020000,2025-08-13 19:56:17+00:00,20.0,0.01,0.0,0.01,0.0,0.0,1.0,1184,3.3750015624999996,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00021000,2025-08-11 16:21:14+00:00,21.0,0.2,0.0,0.01,0.0,0.0,1.0,1437,3.6250009375000003,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00022000,2025-08-11 16:21:14+00:00,22.0,0.01,0.0,0.01,0.0,0.0,1.0,140,3.8750003125,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00023000,2025-08-12 13:46:15+00:00,23.0,0.06,0.0,0.01,0.0,0.0,1.0,152,4.2500046875,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00024000,2025-08-12 15:14:04+00:00,24.0,0.01,0.0,0.01,0.0,0.0,5.0,1437,4.500004375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00025000,2025-07-29 19:48:02+00:00,25.0,0.01,0.0,0.01,0.0,0.0,5.0,186,4.7500040624999995,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00030000,2025-08-12 13:49:10+00:00,30.0,0.01,0.0,0.03,0.0,0.0,5.0,117,6.625001718750001,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00035000,2025-08-14 13:30:02+00:00,35.0,0.01,0.0,0.01,0.0,0.0,1.0,78,6.7500015625000005,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815P00001000,2025-07-30 14:50:01+00:00,1.0,0.01,0.0,0.01,0.0,0.0,1.0,4,19.000004062500004,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00002000,2025-08-13 13:49:40+00:00,2.0,0.01,0.0,0.01,0.0,0.0,1.0,19,13.5000015625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00003000,2025-08-14 13:45:23+00:00,3.0,0.01,0.0,0.01,0.0,0.0,1.0,3,10.500003437500002,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00004000,2025-08-12 14:54:09+00:00,4.0,0.01,0.0,0.01,0.0,0.0,1.0,13,8.500004687499999,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00005000,2025-08-14 16:33:57+00:00,5.0,0.1,0.0,0.1,0.009999998,11.111108,1.0,164,9.75000390625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00006000,2025-08-11 15:49:36+00:00,6.0,0.01,0.0,0.34,0.0,0.0,1.0,327,10.375003515625002,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00007000,2025-08-13 13:45:29+00:00,7.0,0.01,0.0,0.01,0.0,0.0,3.0,325,4.7500040624999995,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00008000,2025-08-11 14:07:45+00:00,8.0,0.01,0.0,0.01,0.0,0.0,1.0,1898,3.750000625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00009000,2025-08-11 13:41:16+00:00,9.0,0.01,0.0,0.01,0.0,0.0,4.0,24959,2.8750028125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00009500,2025-08-08 19:21:07+00:00,9.5,0.01,0.0,0.02,0.0,0.0,33.0,91,2.750003125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00010000,2025-08-13 19:43:59+00:00,10.0,0.01,0.0,0.01,0.0,0.0,12.0,25756,2.1250046874999997,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00010500,2025-08-14 14:11:41+00:00,10.5,0.01,0.0,0.01,0.0,0.0,25.0,3022,1.75000125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00011000,2025-08-14 18:25:09+00:00,11.0,0.01,0.0,0.01,0.0,0.0,94.0,38786,1.3750031249999999,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00011500,2025-08-14 18:53:03+00:00,11.5,0.01,0.0,0.01,0.0,0.0,1107.0,15159,1.000005,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00012000,2025-08-14 19:53:40+00:00,12.0,0.01,0.0,0.01,0.0,0.0,550.0,25345,0.6875031250000001,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00012500,2025-08-14 19:59:37+00:00,12.5,0.03,0.03,0.04,0.0,0.0,3270.0,8870,0.5312546875,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00013000,2025-08-14 19:57:21+00:00,13.0,0.25,0.22,0.25,0.09,56.25,1975.0,5668,0.5312546875,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00013500,2025-08-14 18:29:21+00:00,13.5,0.74,0.67,0.71,0.28,60.869564,123.0,176,0.6250037500000001,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00014000,2025-08-14 18:20:27+00:00,14.0,1.24,1.16,1.21,0.26999998,27.835049,74.0,295,0.8437515624999999,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00014500,2025-08-14 14:52:03+00:00,14.5,1.75,1.66,1.71,0.16999996,10.759491,6.0,11,1.125004375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00015000,2025-08-14 19:26:18+00:00,15.0,2.26,2.16,2.25,0.23000002,11.33005,7.0,124,1.78125109375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00015500,2025-08-14 18:24:16+00:00,15.5,2.72,2.67,2.71,0.35000014,14.76794,7.0,6,1.78125109375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00016000,2025-08-14 19:26:18+00:00,16.0,3.2,3.15,3.25,-0.029999971,-0.9287917,2.0,245,2.2500043749999996,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00017000,2025-08-14 19:14:53+00:00,17.0,4.24,4.15,4.25,0.2999997,7.614206,5.0,209,2.750003125,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00018000,2025-08-11 15:50:00+00:00,18.0,6.3,5.15,5.25,0.0,0.0,10.0,10,3.1875020312499998,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00019000,2025-08-12 18:37:09+00:00,19.0,6.24,6.15,6.25,0.0,0.0,20.0,0,3.6250009375000003,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00020000,2025-08-12 18:34:29+00:00,20.0,7.23,7.15,7.25,0.0,0.0,20.0,2,3.968750078125,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00021000,2025-07-24 13:32:14+00:00,21.0,9.55,8.15,8.25,0.0,0.0,1.0,3,4.375004531249999,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00023000,2025-08-12 17:47:03+00:00,23.0,10.24,10.15,10.3,0.0,0.0,10.0,0,5.62500296875,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00024000,2025-08-13 13:48:31+00:00,24.0,11.1,11.15,11.3,0.0,0.0,20.0,10,5.9687525390625,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00025000,2025-08-12 19:27:08+00:00,25.0,12.12,12.15,12.35,0.0,0.0,20.0,0,6.7500015625000005,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00030000,2025-01-07 15:11:27+00:00,30.0,12.41,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00035000,2025-07-15 15:17:01+00:00,35.0,22.75,22.15,22.25,0.0,0.0,,0,7.87500015625,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
